platform,title,posted_at,content_pillar,views,likes,comments,shares,saves,followers_gained,duration_seconds,avg_watch_duration
TikTok,"3 cách tăng retention cho video ngắn #creator",2026-05-03 19:00,Education,128000,9800,820,2100,3400,1450,58,41
TikTok,"Một ngày hậu trường làm campaign KOL",2026-05-05 20:00,Community / Story,74000,5100,410,820,900,430,72,38
YouTube,"Case study: vì sao series review này tăng 42% views",2026-05-07 21:00,Authority / Thought Leadership,46200,3100,260,470,980,380,510,236
Facebook,"Khách hàng hỏi gì trước khi mua sản phẩm mới?",2026-05-09 10:00,Product / Offer,38900,1700,190,220,520,190,95,44
TikTok,"Trend audio tuần này có đáng dùng không?",2026-05-11 18:00,Trend / Viral,156000,11200,760,3900,1800,980,33,24
TikTok,"5 lỗi khiến video bị lướt qua trong 3 giây đầu",2026-05-13 19:00,Education,211000,18400,1300,5200,7100,2400,64,48
YouTube,"Framework lập content pillar cho SME",2026-05-15 20:00,Authority / Thought Leadership,58200,4200,390,680,1500,520,620,302
Facebook,"Demo tính năng mới trong 60 giây",2026-05-17 11:00,Product / Offer,51200,2200,140,310,650,260,60,29
TikTok,"POV: bạn đăng đều 30 ngày nhưng kênh vẫn đứng",2026-05-19 21:00,Entertainment,97000,8300,610,1700,1200,620,42,28
TikTok,"Cách đọc analytics mà không bị rối",2026-05-21 19:00,Education,186000,15100,1040,4300,5900,1900,76,55
YouTube,"Phân tích lịch đăng của 10 kênh tăng trưởng nhanh",2026-05-23 20:00,Authority / Thought Leadership,67400,4800,520,840,1700,610,720,341
Facebook,"Livestream cutdown: câu hỏi hay nhất tuần",2026-05-25 20:00,Community / Story,44600,2100,330,260,430,170,130,58
TikTok,"Challenge 7 ngày viết hook tốt hơn",2026-05-27 18:00,Trend / Viral,132000,9400,980,2800,2500,890,50,33
TikTok,"Checklist trước khi bấm đăng video",2026-05-29 19:00,Education,168000,12700,870,3300,5200,1500,69,47
YouTube,"Review format dài: khi nào nên làm video 8 phút?",2026-05-31 21:00,Education,39100,2600,210,320,760,240,480,194
Facebook,"Ưu đãi tháng 6: góc nhìn creator nên nói thế nào?",2026-06-02 10:00,Product / Offer,33500,1300,160,180,410,150,88,37
TikTok,"Behind the scenes: 4 lần quay hỏng trước bản final",2026-06-04 20:00,Community / Story,88400,6900,530,1200,950,510,61,36
TikTok,"Cách biến comment thành ý tưởng video mới",2026-06-06 19:00,Education,149000,11300,920,2600,4700,1280,73,49
YouTube,"Chiến lược phân bổ content calendar cho tháng tới",2026-06-08 20:00,Authority / Thought Leadership,71200,5400,480,900,1900,690,650,319
Facebook,"Mini case: bài post bán hàng ít nói về bán hàng",2026-06-10 11:00,Product / Offer,42600,1900,210,260,540,220,105,52

